#gid	GOTERM_BP_FAT	GOTERM_CC_FAT	GOTERM_MF_FAT	INTERPRO	KEGG_PATHWAY
ENSG00000115414	GO:0008360~regulation of cell shape;GO:0007155~cell adhesion;GO:0022604~regulation of cell morphogenesis;GO:0009611~response to wounding;GO:0051674~localization of cell;GO:0006953~acute-phase response;GO:0016477~cell migration;GO:0006952~defense response;GO:0042060~wound healing;GO:0006928~cell motion;GO:0002526~acute inflammatory response;GO:0034329~cell junction assembly;GO:0022610~biological adhesion;GO:0006954~inflammatory response;GO:0048870~cell motility	GO:0031410~cytoplasmic vesicle;GO:0005578~proteinaceous extracellular matrix;GO:0005576~extracellular region;GO:0031091~platelet alpha granule;GO:0031983~vesicle lumen;GO:0005615~extracellular space;GO:0005886~plasma membrane;GO:0044421~extracellular region part;GO:0016023~cytoplasmic membrane-bounded vesicle;GO:0060205~cytoplasmic membrane-bounded vesicle lumen;GO:0031093~platelet alpha granule lumen;GO:0031012~extracellular matrix;GO:0030141~secretory granule;GO:0031982~vesicle;GO:0031988~membrane-bounded vesicle;GO:0044433~cytoplasmic vesicle part;GO:0044459~plasma membrane part	GO:0005518~collagen binding;GO:0030246~carbohydrate binding;GO:0005539~glycosaminoglycan binding;GO:0008201~heparin binding;GO:0030247~polysaccharide binding;GO:0001871~pattern binding	IPR013032:EGF-like region, conserved site;IPR016060:Complement control module;IPR008957:Fibronectin, type III-like fold;IPR003961:Fibronectin, type III	hsa04512:ECM-receptor interaction
ENSG00000052749	NA	GO:0005730~nucleolus	NA	NA	NA
ENSG00000067057	NA	GO:0005625~soluble fraction	GO:0030246~carbohydrate binding	NA	NA
ENSG00000161638	GO:0007155~cell adhesion;GO:0009611~response to wounding;GO:0007157~heterophilic cell adhesion;GO:0051674~localization of cell;GO:0016477~cell migration;GO:0042060~wound healing;GO:0006928~cell motion;GO:0034329~cell junction assembly;GO:0048870~cell motility;GO:0022610~biological adhesion	GO:0005886~plasma membrane;GO:0031226~intrinsic to plasma membrane;GO:0005887~integral to plasma membrane;GO:0009986~cell surface;GO:0016323~basolateral plasma membrane;GO:0044459~plasma membrane part	GO:0032403~protein complex binding;GO:0005178~integrin binding;GO:0005509~calcium ion binding	NA	hsa04512:ECM-receptor interaction;hsa04640:Hematopoietic cell lineage
ENSG00000034971	NA	GO:0005615~extracellular space;GO:0005576~extracellular region;GO:0044421~extracellular region part	NA	NA	NA
ENSG00000159339	NA	NA	GO:0005509~calcium ion binding	NA	NA
ENSG00000097007	GO:0030029~actin filament-based process;GO:0007010~cytoskeleton organization;GO:0051329~interphase of mitotic cell cycle;GO:0022403~cell cycle phase;GO:0042981~regulation of apoptosis;GO:0008630~DNA damage response, signal transduction resulting in induction of apoptosis;GO:0043085~positive regulation of catalytic activity;GO:0051325~interphase;GO:0043067~regulation of programmed cell death;GO:0043065~positive regulation of apoptosis;GO:0010942~positive regulation of cell death;GO:0051353~positive regulation of oxidoreductase activity;GO:0030036~actin cytoskeleton organization;GO:0007155~cell adhesion;GO:0008629~induction of apoptosis by intracellular signals;GO:0043068~positive regulation of programmed cell death;GO:0010941~regulation of cell death;GO:0044093~positive regulation of molecular function;GO:0022610~biological adhesion	GO:0005730~nucleolus	NA	NA	hsa05220:Chronic myeloid leukemia;hsa04012:ErbB signaling pathway
ENSG00000159713	GO:0007010~cytoskeleton organization	NA	NA	NA	NA
ENSG00000069399	GO:0045944~positive regulation of transcription from RNA polymerase II promoter;GO:0009314~response to radiation;GO:0002443~leukocyte mediated immunity;GO:0002252~immune effector process;GO:0006955~immune response;GO:0042981~regulation of apoptosis;GO:0008630~DNA damage response, signal transduction resulting in induction of apoptosis;GO:0002250~adaptive immune response;GO:0001817~regulation of cytokine production;GO:0043065~positive regulation of apoptosis;GO:0043067~regulation of programmed cell death;GO:0008629~induction of apoptosis by intracellular signals;GO:0030198~extracellular matrix organization;GO:0043066~negative regulation of apoptosis;GO:0002285~lymphocyte activation during immune response;GO:0045727~positive regulation of translation;GO:0051240~positive regulation of multicellular organismal process;GO:0002286~T cell activation during immune response;GO:0009411~response to UV;GO:0060548~negative regulation of cell death;GO:0001819~positive regulation of cytokine production;GO:0043069~negative regulation of programmed cell death;GO:0002263~cell activation during immune response;GO:0006959~humoral immune response;GO:0006952~defense response;GO:0009617~response to bacterium;GO:0010942~positive regulation of cell death;GO:0009628~response to abiotic stimulus;GO:0002366~leukocyte activation during immune response;GO:0043068~positive regulation of programmed cell death;GO:0010941~regulation of cell death;GO:0043062~extracellular structure organization;GO:0002460~adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	NA	GO:0003700~transcription factor activity	NA	NA
ENSG00000106366	GO:0007599~hemostasis;GO:0009611~response to wounding;GO:0048878~chemical homeostasis;GO:0050878~regulation of body fluid levels;GO:0031099~regeneration;GO:0045765~regulation of angiogenesis;GO:0042060~wound healing;GO:0042592~homeostatic process;GO:0032101~regulation of response to external stimulus;GO:0050817~coagulation;GO:0042127~regulation of cell proliferation;GO:0007596~blood coagulation	GO:0005886~plasma membrane;GO:0005625~soluble fraction;GO:0005576~extracellular region	NA	NA	hsa04115:p53 signaling pathway;hsa04610:Complement and coagulation cascades
ENSG00000142871	GO:0010033~response to organic substance;GO:0007155~cell adhesion;GO:0007626~locomotory behavior;GO:0008283~cell proliferation;GO:0001525~angiogenesis;GO:0030198~extracellular matrix organization;GO:0048514~blood vessel morphogenesis;GO:0042330~taxis;GO:0006935~chemotaxis;GO:0001944~vasculature development;GO:0040008~regulation of growth;GO:0001558~regulation of cell growth;GO:0043062~extracellular structure organization;GO:0001568~blood vessel development;GO:0022610~biological adhesion	GO:0005576~extracellular region	GO:0030246~carbohydrate binding;GO:0005539~glycosaminoglycan binding;GO:0008201~heparin binding;GO:0019838~growth factor binding;GO:0030247~polysaccharide binding;GO:0005520~insulin-like growth factor binding;GO:0001871~pattern binding	IPR000867:Insulin-like growth factor-binding protein, IGFBP;IPR017891:Insulin-like growth factor binding protein, N-terminal;IPR000884:Thrombospondin, type 1 repeat	NA
ENSG00000103196	GO:0043062~extracellular structure organization;GO:0030198~extracellular matrix organization	GO:0031982~vesicle;GO:0031012~extracellular matrix;GO:0031410~cytoplasmic vesicle;GO:0031988~membrane-bounded vesicle;GO:0005576~extracellular region;GO:0044421~extracellular region part;GO:0016023~cytoplasmic membrane-bounded vesicle	GO:0030246~carbohydrate binding;GO:0005539~glycosaminoglycan binding;GO:0008201~heparin binding;GO:0030247~polysaccharide binding;GO:0001871~pattern binding	NA	NA
ENSG00000211448	GO:0009628~response to abiotic stimulus	GO:0005886~plasma membrane	NA	NA	NA
ENSG00000163221	GO:0006952~defense response;GO:0009611~response to wounding;GO:0009617~response to bacterium;GO:0006954~inflammatory response	GO:0005886~plasma membrane;GO:0005730~nucleolus	GO:0005509~calcium ion binding	NA	NA
ENSG00000184545	GO:0006469~negative regulation of protein kinase activity;GO:0045859~regulation of protein kinase activity;GO:0051174~regulation of phosphorus metabolic process;GO:0051338~regulation of transferase activity;GO:0051348~negative regulation of transferase activity;GO:0043549~regulation of kinase activity;GO:0042325~regulation of phosphorylation;GO:0019220~regulation of phosphate metabolic process;GO:0033673~negative regulation of kinase activity	NA	NA	NA	hsa04010:MAPK signaling pathway
ENSG00000133800	GO:0007155~cell adhesion;GO:0006928~cell motion;GO:0009611~response to wounding;GO:0022610~biological adhesion	GO:0005886~plasma membrane;GO:0031226~intrinsic to plasma membrane;GO:0005887~integral to plasma membrane;GO:0044459~plasma membrane part	GO:0030246~carbohydrate binding;GO:0005539~glycosaminoglycan binding;GO:0005540~hyaluronic acid binding;GO:0030247~polysaccharide binding;GO:0001871~pattern binding	IPR016186:C-type lectin-like;IPR000538:Link	NA
ENSG00000102362	NA	GO:0005886~plasma membrane;GO:0031982~vesicle;GO:0030141~secretory granule;GO:0031410~cytoplasmic vesicle;GO:0031988~membrane-bounded vesicle;GO:0016023~cytoplasmic membrane-bounded vesicle	NA	NA	NA
ENSG00000133027	GO:0007584~response to nutrient;GO:0010033~response to organic substance;GO:0008283~cell proliferation;GO:0033273~response to vitamin;GO:0031667~response to nutrient levels;GO:0042493~response to drug;GO:0008285~negative regulation of cell proliferation;GO:0009719~response to endogenous stimulus;GO:0042127~regulation of cell proliferation;GO:0009991~response to extracellular stimulus	GO:0005886~plasma membrane;GO:0044459~plasma membrane part	NA	NA	NA
ENSG00000090339	GO:0051270~regulation of cell motion;GO:0002263~cell activation during immune response;GO:0050900~leukocyte migration;GO:0002443~leukocyte mediated immunity;GO:0040017~positive regulation of locomotion;GO:0002252~immune effector process;GO:0006955~immune response;GO:0030334~regulation of cell migration;GO:0007157~heterophilic cell adhesion;GO:0051272~positive regulation of cell motion;GO:0051674~localization of cell;GO:0002250~adaptive immune response;GO:0030335~positive regulation of cell migration;GO:0006928~cell motion;GO:0048870~cell motility;GO:0007155~cell adhesion;GO:0002366~leukocyte activation during immune response;GO:0002285~lymphocyte activation during immune response;GO:0040012~regulation of locomotion;GO:0016477~cell migration;GO:0002286~T cell activation during immune response;GO:0044093~positive regulation of molecular function;GO:0002460~adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains;GO:0022610~biological adhesion;GO:0002684~positive regulation of immune system process	GO:0005887~integral to plasma membrane;GO:0005576~extracellular region;GO:0044459~plasma membrane part;GO:0005615~extracellular space;GO:0031226~intrinsic to plasma membrane;GO:0005886~plasma membrane;GO:0044421~extracellular region part;GO:0009986~cell surface	GO:0032403~protein complex binding;GO:0005178~integrin binding	IPR013783:Immunoglobulin-like fold;IPR003599:Immunoglobulin subtype	NA
ENSG00000099860	GO:0045859~regulation of protein kinase activity;GO:0051348~negative regulation of transferase activity;GO:0042325~regulation of phosphorylation;GO:0051347~positive regulation of transferase activity;GO:0006469~negative regulation of protein kinase activity;GO:0051174~regulation of phosphorus metabolic process;GO:0006915~apoptosis;GO:0045860~positive regulation of protein kinase activity;GO:0051338~regulation of transferase activity;GO:0043085~positive regulation of catalytic activity;GO:0033673~negative regulation of kinase activity;GO:0051726~regulation of cell cycle;GO:0012501~programmed cell death;GO:0019220~regulation of phosphate metabolic process;GO:0008219~cell death;GO:0016265~death;GO:0044093~positive regulation of molecular function;GO:0043549~regulation of kinase activity;GO:0033674~positive regulation of kinase activity	NA	NA	NA	hsa04115:p53 signaling pathway;hsa04010:MAPK signaling pathway
ENSG00000176845	NA	GO:0005576~extracellular region	NA	NA	NA
ENSG00000152642	NA	NA	GO:0046983~protein dimerization activity;GO:0042803~protein homodimerization activity	NA	NA
ENSG00000110092	GO:0051412~response to corticosterone stimulus;GO:0009314~response to radiation;GO:0043627~response to estrogen stimulus;GO:0051347~positive regulation of transferase activity;GO:0051174~regulation of phosphorus metabolic process;GO:0014070~response to organic cyclic substance;GO:0051338~regulation of transferase activity;GO:0008284~positive regulation of cell proliferation;GO:0051726~regulation of cell cycle;GO:0033273~response to vitamin;GO:0031667~response to nutrient levels;GO:0009991~response to extracellular stimulus;GO:0009411~response to UV;GO:0009968~negative regulation of signal transduction;GO:0010033~response to organic substance;GO:0045859~regulation of protein kinase activity;GO:0051329~interphase of mitotic cell cycle;GO:0022403~cell cycle phase;GO:0048545~response to steroid hormone stimulus;GO:0042325~regulation of phosphorylation;GO:0000082~G1/S transition of mitotic cell cycle;GO:0000079~regulation of cyclin-dependent protein kinase activity;GO:0051384~response to glucocorticoid stimulus;GO:0045860~positive regulation of protein kinase activity;GO:0043085~positive regulation of catalytic activity;GO:0051325~interphase;GO:0010212~response to ionizing radiation;GO:0007584~response to nutrient;GO:0009725~response to hormone stimulus;GO:0009628~response to abiotic stimulus;GO:0045596~negative regulation of cell differentiation;GO:0045787~positive regulation of cell cycle;GO:0019220~regulation of phosphate metabolic process;GO:0045737~positive regulation of cyclin-dependent protein kinase activity;GO:0031100~organ regeneration;GO:0031099~regeneration;GO:0031960~response to corticosteroid stimulus;GO:0042493~response to drug;GO:0009719~response to endogenous stimulus;GO:0044093~positive regulation of molecular function;GO:0043549~regulation of kinase activity;GO:0042127~regulation of cell proliferation;GO:0033674~positive regulation of kinase activity;GO:0051385~response to mineralocorticoid stimulus	GO:0000307~cyclin-dependent protein kinase holoenzyme complex	GO:0032403~protein complex binding	NA	hsa05220:Chronic myeloid leukemia;hsa04115:p53 signaling pathway
ENSG00000167861	GO:0048568~embryonic organ development	NA	GO:0046983~protein dimerization activity;GO:0042803~protein homodimerization activity	NA	NA
ENSG00000160862	GO:0007155~cell adhesion;GO:0008285~negative regulation of cell proliferation;GO:0006955~immune response;GO:0042127~regulation of cell proliferation;GO:0022610~biological adhesion	GO:0005886~plasma membrane;GO:0005576~extracellular region;GO:0044459~plasma membrane part	NA	IPR013783:Immunoglobulin-like fold	NA
ENSG00000003137	GO:0022403~cell cycle phase;GO:0009968~negative regulation of signal transduction	NA	NA	NA	NA
ENSG00000171223	GO:0010033~response to organic substance;GO:0045944~positive regulation of transcription from RNA polymerase II promoter;GO:0051412~response to corticosterone stimulus;GO:0009314~response to radiation;GO:0001890~placenta development;GO:0051591~response to cAMP;GO:0048545~response to steroid hormone stimulus;GO:0051384~response to glucocorticoid stimulus;GO:0001944~vasculature development;GO:0034097~response to cytokine stimulus;GO:0014070~response to organic cyclic substance;GO:0007565~female pregnancy;GO:0045597~positive regulation of cell differentiation;GO:0032570~response to progesterone stimulus;GO:0001568~blood vessel development;GO:0001893~maternal placenta development;GO:0051726~regulation of cell cycle;GO:0009725~response to hormone stimulus;GO:0048568~embryonic organ development;GO:0009628~response to abiotic stimulus;GO:0048514~blood vessel morphogenesis;GO:0045896~regulation of transcription, mitotic;GO:0046697~decidualization;GO:0031960~response to corticosteroid stimulus;GO:0042493~response to drug;GO:0009719~response to endogenous stimulus;GO:0051094~positive regulation of developmental process;GO:0051385~response to mineralocorticoid stimulus	GO:0005730~nucleolus	GO:0046983~protein dimerization activity;GO:0003700~transcription factor activity;GO:0043565~sequence-specific DNA binding	IPR004827:Basic-leucine zipper (bZIP) transcription factor;IPR011616:bZIP transcription factor, bZIP-1	NA
ENSG00000196091	GO:0007155~cell adhesion;GO:0022610~biological adhesion	GO:0030016~myofibril	NA	IPR008957:Fibronectin, type III-like fold;IPR003961:Fibronectin, type III;IPR013783:Immunoglobulin-like fold;IPR003599:Immunoglobulin subtype	NA
ENSG00000130830	NA	GO:0005886~plasma membrane;GO:0031226~intrinsic to plasma membrane;GO:0005887~integral to plasma membrane;GO:0044459~plasma membrane part	NA	NA	NA
ENSG00000136826	GO:0007584~response to nutrient;GO:0045944~positive regulation of transcription from RNA polymerase II promoter;GO:0048864~stem cell development;GO:0033189~response to vitamin A;GO:0045596~negative regulation of cell differentiation;GO:0019827~stem cell maintenance;GO:0033273~response to vitamin;GO:0031667~response to nutrient levels;GO:0008285~negative regulation of cell proliferation;GO:0009791~post-embryonic development;GO:0048660~regulation of smooth muscle cell proliferation;GO:0042127~regulation of cell proliferation;GO:0009991~response to extracellular stimulus	GO:0005730~nucleolus	GO:0003700~transcription factor activity;GO:0043565~sequence-specific DNA binding	NA	NA
ENSG00000048162	NA	GO:0005730~nucleolus	NA	NA	NA
ENSG00000173530	GO:0012501~programmed cell death;GO:0043066~negative regulation of apoptosis;GO:0042981~regulation of apoptosis;GO:0010941~regulation of cell death;GO:0008219~cell death;GO:0006915~apoptosis;GO:0016265~death;GO:0043067~regulation of programmed cell death;GO:0060548~negative regulation of cell death;GO:0043069~negative regulation of programmed cell death	NA	NA	NA	hsa04060:Cytokine-cytokine receptor interaction
ENSG00000111276	GO:0051270~regulation of cell motion;GO:0042981~regulation of apoptosis;GO:0006469~negative regulation of protein kinase activity;GO:0051174~regulation of phosphorus metabolic process;GO:0051338~regulation of transferase activity;GO:0008361~regulation of cell size;GO:0043065~positive regulation of apoptosis;GO:0043067~regulation of programmed cell death;GO:0033673~negative regulation of kinase activity;GO:0008284~positive regulation of cell proliferation;GO:0051726~regulation of cell cycle;GO:0012501~programmed cell death;GO:0032535~regulation of cellular component size;GO:0008219~cell death;GO:0008285~negative regulation of cell proliferation;GO:0016265~death;GO:0045859~regulation of protein kinase activity;GO:0051329~interphase of mitotic cell cycle;GO:0051348~negative regulation of transferase activity;GO:0022403~cell cycle phase;GO:0042325~regulation of phosphorylation;GO:0000082~G1/S transition of mitotic cell cycle;GO:0000079~regulation of cyclin-dependent protein kinase activity;GO:0043254~regulation of protein complex assembly;GO:0051325~interphase;GO:0010942~positive regulation of cell death;GO:0051271~negative regulation of cell motion;GO:0019220~regulation of phosphate metabolic process;GO:0043068~positive regulation of programmed cell death;GO:0010941~regulation of cell death;GO:0040008~regulation of growth;GO:0001558~regulation of cell growth;GO:0043549~regulation of kinase activity;GO:0042127~regulation of cell proliferation;GO:0032271~regulation of protein polymerization;GO:0032273~positive regulation of protein polymerization	NA	NA	NA	hsa05220:Chronic myeloid leukemia;hsa04012:ErbB signaling pathway
ENSG00000104635	GO:0006826~iron ion transport	GO:0005886~plasma membrane	NA	NA	NA
ENSG00000104856	GO:0002250~adaptive immune response;GO:0002263~cell activation during immune response;GO:0002286~T cell activation during immune response;GO:0002366~leukocyte activation during immune response;GO:0006955~immune response;GO:0002460~adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains;GO:0002285~lymphocyte activation during immune response	NA	GO:0003700~transcription factor activity	IPR000451:NF-kappa-B/Rel/dorsal;IPR011539:Rel homology;IPR013783:Immunoglobulin-like fold	hsa04010:MAPK signaling pathway
ENSG00000213694	GO:0009611~response to wounding;GO:0001817~regulation of cytokine production;GO:0006952~defense response;GO:0006873~cellular ion homeostasis;GO:0055074~calcium ion homeostasis;GO:0006875~cellular metal ion homeostasis;GO:0006954~inflammatory response;GO:0006874~cellular calcium ion homeostasis;GO:0008284~positive regulation of cell proliferation;GO:0030003~cellular cation homeostasis;GO:0050801~ion homeostasis;GO:0055080~cation homeostasis;GO:0019725~cellular homeostasis;GO:0007204~elevation of cytosolic calcium ion concentration;GO:0055082~cellular chemical homeostasis;GO:0055065~metal ion homeostasis;GO:0055066~di-, tri-valent inorganic cation homeostasis;GO:0030005~cellular di-, tri-valent inorganic cation homeostasis;GO:0048878~chemical homeostasis;GO:0042592~homeostatic process;GO:0042127~regulation of cell proliferation	GO:0005886~plasma membrane;GO:0031226~intrinsic to plasma membrane;GO:0005887~integral to plasma membrane;GO:0044459~plasma membrane part	NA	NA	NA
ENSG00000105609	GO:0006952~defense response;GO:0006955~immune response	NA	NA	IPR013783:Immunoglobulin-like fold;IPR003599:Immunoglobulin subtype	NA
ENSG00000184381	GO:0008219~cell death;GO:0016265~death	NA	NA	NA	hsa04010:MAPK signaling pathway
ENSG00000164442	GO:0051270~regulation of cell motion;GO:0045944~positive regulation of transcription from RNA polymerase II promoter;GO:0001890~placenta development;GO:0030334~regulation of cell migration;GO:0042981~regulation of apoptosis;GO:0001944~vasculature development;GO:0001666~response to hypoxia;GO:0007565~female pregnancy;GO:0043067~regulation of programmed cell death;GO:0001568~blood vessel development;GO:0051271~negative regulation of cell motion;GO:0001893~maternal placenta development;GO:0051726~regulation of cell cycle;GO:0048568~embryonic organ development;GO:0045787~positive regulation of cell cycle;GO:0048514~blood vessel morphogenesis;GO:0043066~negative regulation of apoptosis;GO:0045896~regulation of transcription, mitotic;GO:0040013~negative regulation of locomotion;GO:0030336~negative regulation of cell migration;GO:0040012~regulation of locomotion;GO:0046697~decidualization;GO:0010941~regulation of cell death;GO:0060548~negative regulation of cell death;GO:0070482~response to oxygen levels;GO:0043069~negative regulation of programmed cell death	NA	GO:0003700~transcription factor activity	NA	NA
ENSG00000131196	GO:0051329~interphase of mitotic cell cycle;GO:0022403~cell cycle phase;GO:0051325~interphase;GO:0000082~G1/S transition of mitotic cell cycle	NA	GO:0003700~transcription factor activity;GO:0043565~sequence-specific DNA binding	IPR000451:NF-kappa-B/Rel/dorsal;IPR011539:Rel homology;IPR013783:Immunoglobulin-like fold	NA
ENSG00000064932	GO:0002263~cell activation during immune response;GO:0050727~regulation of inflammatory response;GO:0032101~regulation of response to external stimulus;GO:0002366~leukocyte activation during immune response;GO:0006955~immune response	NA	NA	NA	NA
ENSG00000118503	GO:0012501~programmed cell death;GO:0043066~negative regulation of apoptosis;GO:0042981~regulation of apoptosis;GO:0010941~regulation of cell death;GO:0008219~cell death;GO:0006915~apoptosis;GO:0016265~death;GO:0043067~regulation of programmed cell death;GO:0060548~negative regulation of cell death;GO:0009968~negative regulation of signal transduction;GO:0043069~negative regulation of programmed cell death	NA	NA	NA	NA
ENSG00000004939	GO:0050801~ion homeostasis;GO:0019725~cellular homeostasis;GO:0042592~homeostatic process;GO:0055082~cellular chemical homeostasis;GO:0006873~cellular ion homeostasis;GO:0048878~chemical homeostasis	GO:0005886~plasma membrane;GO:0031226~intrinsic to plasma membrane;GO:0005887~integral to plasma membrane;GO:0030016~myofibril;GO:0016323~basolateral plasma membrane;GO:0044459~plasma membrane part	GO:0046983~protein dimerization activity;GO:0042803~protein homodimerization activity	IPR011531:Bicarbonate transporter, C-terminal;IPR003020:Bicarbonate transporter, eukaryotic;IPR013769:Bicarbonate transporter, cytoplasmic	NA
ENSG00000184357	GO:0007517~muscle organ development	NA	NA	NA	NA
ENSG00000177575	GO:0006953~acute-phase response;GO:0006952~defense response;GO:0002526~acute inflammatory response;GO:0009611~response to wounding;GO:0006954~inflammatory response	GO:0005886~plasma membrane;GO:0031226~intrinsic to plasma membrane;GO:0005887~integral to plasma membrane;GO:0005576~extracellular region;GO:0044459~plasma membrane part	GO:0005044~scavenger receptor activity	IPR017448:Speract/scavenger receptor related;IPR001190:Speract/scavenger receptor	NA
ENSG00000036672	NA	GO:0005886~plasma membrane	NA	NA	NA
ENSG00000124440	GO:0001666~response to hypoxia;GO:0070482~response to oxygen levels	NA	GO:0003700~transcription factor activity	NA	NA
ENSG00000117394	GO:0009628~response to abiotic stimulus	GO:0031982~vesicle;GO:0031410~cytoplasmic vesicle;GO:0045121~membrane raft;GO:0031988~membrane-bounded vesicle;GO:0016323~basolateral plasma membrane;GO:0044459~plasma membrane part;GO:0005886~plasma membrane;GO:0016023~cytoplasmic membrane-bounded vesicle	NA	NA	NA
ENSG00000158270	GO:0010033~response to organic substance;GO:0006952~defense response;GO:0045087~innate immune response;GO:0006955~immune response	NA	GO:0030246~carbohydrate binding;GO:0005044~scavenger receptor activity;GO:0005509~calcium ion binding	IPR018378:C-type lectin, conserved site;IPR001304:C-type lectin;IPR016186:C-type lectin-like	NA
ENSG00000170458	GO:0010033~response to organic substance;GO:0012501~programmed cell death;GO:0006955~immune response;GO:0009611~response to wounding;GO:0008219~cell death;GO:0006952~defense response;GO:0051240~positive regulation of multicellular organismal process;GO:0001817~regulation of cytokine production;GO:0006915~apoptosis;GO:0002237~response to molecule of bacterial origin;GO:0016265~death;GO:0009617~response to bacterium;GO:0032496~response to lipopolysaccharide;GO:0001819~positive regulation of cytokine production;GO:0006954~inflammatory response	GO:0005886~plasma membrane;GO:0045121~membrane raft;GO:0005576~extracellular region	GO:0030246~carbohydrate binding;GO:0005539~glycosaminoglycan binding;GO:0030247~polysaccharide binding;GO:0001871~pattern binding	NA	hsa04010:MAPK signaling pathway;hsa04640:Hematopoietic cell lineage
ENSG00000137267	GO:0022403~cell cycle phase;GO:0051258~protein polymerization	NA	NA	NA	NA
